"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"pcg_4188","Intérêts courus","4188","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4191","Clients - Dettes pour emballages et matériels consignés","4196","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4197","Clients - Autres avoirs","4197","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4198","Rabais, remises, ristournes à accorder et autres avoirs à établir","4198","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_421","Personnel - avances et acomptes","421","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_422","Comités d'entreprises et autres organes représentatifs du personnel","422","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_423","Personnel, œuvres sociales","423","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_425","Personnel - rémunérations dues","425","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_426","Personnel - Dépôts","426","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_427","Personnel - Oppositions","427","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_4282","Dettes provisionnées pour congés à payer","4282","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_4286","Autres charges à payer","4286","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_4287","Produits à recevoir","4287","account.data_account_type_expenses","l10n_tn.tn_chart_template","True"
"pcg_431","État - Subventions à recevoir","431","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_432","État - impôts et taxes retenus à la source","432","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_4331","Timbre fiscale","4331","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
"pcg_4341","Retenue à la source","4341","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4342","Acomptes provisionnels","4342","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4343","Impôt à liquider","4343","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_4349","Impôts différés","4349","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_435","Obligations cautionnées","435","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_43651","TVA à payer","43651","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_43658","Autres taxes sur le chiffre d'affaires","43658","account.data_account_type_equity","l10n_tn.tn_chart_template","True"
"pcg_436620","TVA sur immobilisations 29%","436620","account.data_account_type_non_current_assets","l10n_tn.tn_chart_template","True"
